filename,filepath,blur_level,channel,quality
SIMCEPImages_A01_C1_F1_s06_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s06_w2.TIF,6,w2,medium
SIMCEPImages_A01_C1_F1_s07_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s07_w1.TIF,7,w1,medium
SIMCEPImages_A01_C1_F1_s07_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s07_w2.TIF,7,w2,medium
SIMCEPImages_A01_C1_F1_s08_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s08_w1.TIF,8,w1,medium
SIMCEPImages_A01_C1_F1_s08_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s08_w2.TIF,8,w2,medium
SIMCEPImages_A01_C1_F1_s09_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s09_w1.TIF,9,w1,medium
SIMCEPImages_A01_C1_F1_s09_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s09_w2.TIF,9,w2,medium
SIMCEPImages_A01_C1_F1_s10_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s10_w1.TIF,10,w1,medium
SIMCEPImages_A01_C1_F1_s10_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s10_w2.TIF,10,w2,medium
SIMCEPImages_A01_C1_F1_s11_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s11_w1.TIF,11,w1,low
SIMCEPImages_A01_C1_F1_s11_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s11_w2.TIF,11,w2,low
SIMCEPImages_A01_C1_F1_s12_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s12_w1.TIF,12,w1,low
SIMCEPImages_A01_C1_F1_s12_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s12_w2.TIF,12,w2,low
SIMCEPImages_A01_C1_F1_s13_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s13_w1.TIF,13,w1,low
SIMCEPImages_A01_C1_F1_s13_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s13_w2.TIF,13,w2,low
SIMCEPImages_A01_C1_F1_s14_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s14_w1.TIF,14,w1,low
SIMCEPImages_A01_C1_F1_s14_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s14_w2.TIF,14,w2,low
SIMCEPImages_A01_C1_F1_s15_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s15_w1.TIF,15,w1,low
SIMCEPImages_A01_C1_F1_s15_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s15_w2.TIF,15,w2,low
SIMCEPImages_A01_C1_F1_s16_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s16_w1.TIF,16,w1,low
SIMCEPImages_A01_C1_F1_s16_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s16_w2.TIF,16,w2,low
SIMCEPImages_A01_C1_F1_s17_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s17_w1.TIF,17,w1,low
SIMCEPImages_A01_C1_F1_s17_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s17_w2.TIF,17,w2,low
SIMCEPImages_A01_C1_F1_s18_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s18_w1.TIF,18,w1,low
SIMCEPImages_A01_C1_F1_s18_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s18_w2.TIF,18,w2,low
SIMCEPImages_A01_C1_F1_s19_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s19_w1.TIF,19,w1,low
SIMCEPImages_A01_C1_F1_s19_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s19_w2.TIF,19,w2,low
SIMCEPImages_A01_C1_F1_s20_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s20_w1.TIF,20,w1,low
SIMCEPImages_A01_C1_F1_s20_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s20_w2.TIF,20,w2,low
SIMCEPImages_A01_C1_F1_s21_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s21_w1.TIF,21,w1,low
SIMCEPImages_A01_C1_F1_s21_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s21_w2.TIF,21,w2,low
SIMCEPImages_A01_C1_F1_s22_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s22_w1.TIF,22,w1,low
SIMCEPImages_A01_C1_F1_s22_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s22_w2.TIF,22,w2,low
SIMCEPImages_A01_C1_F1_s23_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s23_w1.TIF,23,w1,low
SIMCEPImages_A01_C1_F1_s23_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s23_w2.TIF,23,w2,low
SIMCEPImages_A01_C1_F1_s24_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s24_w1.TIF,24,w1,low
SIMCEPImages_A01_C1_F1_s24_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s24_w2.TIF,24,w2,low
SIMCEPImages_A01_C1_F1_s25_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s25_w1.TIF,25,w1,low
SIMCEPImages_A01_C1_F1_s25_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A01_C1_F1_s25_w2.TIF,25,w2,low
SIMCEPImages_A02_C5_F1_s01_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s01_w1.TIF,1,w1,high
SIMCEPImages_A02_C5_F1_s01_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s01_w2.TIF,1,w2,high
SIMCEPImages_A02_C5_F1_s02_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s02_w1.TIF,2,w1,high
SIMCEPImages_A02_C5_F1_s02_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s02_w2.TIF,2,w2,high
SIMCEPImages_A02_C5_F1_s03_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s03_w1.TIF,3,w1,high
SIMCEPImages_A02_C5_F1_s03_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s03_w2.TIF,3,w2,high
SIMCEPImages_A02_C5_F1_s04_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s04_w1.TIF,4,w1,high
SIMCEPImages_A02_C5_F1_s04_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s04_w2.TIF,4,w2,high
SIMCEPImages_A02_C5_F1_s05_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s05_w1.TIF,5,w1,high
SIMCEPImages_A02_C5_F1_s05_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s05_w2.TIF,5,w2,high
SIMCEPImages_A02_C5_F1_s06_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s06_w1.TIF,6,w1,medium
SIMCEPImages_A02_C5_F1_s06_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s06_w2.TIF,6,w2,medium
SIMCEPImages_A02_C5_F1_s07_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s07_w1.TIF,7,w1,medium
SIMCEPImages_A02_C5_F1_s07_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s07_w2.TIF,7,w2,medium
SIMCEPImages_A02_C5_F1_s08_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s08_w1.TIF,8,w1,medium
SIMCEPImages_A02_C5_F1_s08_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s08_w2.TIF,8,w2,medium
SIMCEPImages_A02_C5_F1_s09_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s09_w1.TIF,9,w1,medium
SIMCEPImages_A02_C5_F1_s09_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s09_w2.TIF,9,w2,medium
SIMCEPImages_A02_C5_F1_s10_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s10_w1.TIF,10,w1,medium
SIMCEPImages_A02_C5_F1_s10_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s10_w2.TIF,10,w2,medium
SIMCEPImages_A02_C5_F1_s11_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s11_w1.TIF,11,w1,low
SIMCEPImages_A02_C5_F1_s11_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s11_w2.TIF,11,w2,low
SIMCEPImages_A02_C5_F1_s12_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s12_w1.TIF,12,w1,low
SIMCEPImages_A02_C5_F1_s12_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s12_w2.TIF,12,w2,low
SIMCEPImages_A02_C5_F1_s13_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s13_w1.TIF,13,w1,low
SIMCEPImages_A02_C5_F1_s13_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s13_w2.TIF,13,w2,low
SIMCEPImages_A02_C5_F1_s14_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s14_w1.TIF,14,w1,low
SIMCEPImages_A02_C5_F1_s14_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s14_w2.TIF,14,w2,low
SIMCEPImages_A02_C5_F1_s15_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s15_w1.TIF,15,w1,low
SIMCEPImages_A02_C5_F1_s15_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s15_w2.TIF,15,w2,low
SIMCEPImages_A02_C5_F1_s16_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s16_w1.TIF,16,w1,low
SIMCEPImages_A02_C5_F1_s16_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s16_w2.TIF,16,w2,low
SIMCEPImages_A02_C5_F1_s17_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s17_w1.TIF,17,w1,low
SIMCEPImages_A02_C5_F1_s17_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s17_w2.TIF,17,w2,low
SIMCEPImages_A02_C5_F1_s18_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s18_w1.TIF,18,w1,low
SIMCEPImages_A02_C5_F1_s18_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s18_w2.TIF,18,w2,low
SIMCEPImages_A02_C5_F1_s19_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s19_w1.TIF,19,w1,low
SIMCEPImages_A02_C5_F1_s19_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s19_w2.TIF,19,w2,low
SIMCEPImages_A02_C5_F1_s20_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s20_w1.TIF,20,w1,low
SIMCEPImages_A02_C5_F1_s20_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s20_w2.TIF,20,w2,low
SIMCEPImages_A02_C5_F1_s21_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s21_w1.TIF,21,w1,low
SIMCEPImages_A02_C5_F1_s21_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s21_w2.TIF,21,w2,low
SIMCEPImages_A02_C5_F1_s22_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s22_w1.TIF,22,w1,low
SIMCEPImages_A02_C5_F1_s22_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s22_w2.TIF,22,w2,low
SIMCEPImages_A02_C5_F1_s23_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s23_w1.TIF,23,w1,low
SIMCEPImages_A02_C5_F1_s23_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s23_w2.TIF,23,w2,low
SIMCEPImages_A02_C5_F1_s24_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s24_w1.TIF,24,w1,low
SIMCEPImages_A02_C5_F1_s24_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s24_w2.TIF,24,w2,low
SIMCEPImages_A02_C5_F1_s25_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s25_w1.TIF,25,w1,low
SIMCEPImages_A02_C5_F1_s25_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A02_C5_F1_s25_w2.TIF,25,w2,low
SIMCEPImages_A03_C10_F1_s01_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s01_w1.TIF,1,w1,high
SIMCEPImages_A03_C10_F1_s01_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s01_w2.TIF,1,w2,high
SIMCEPImages_A03_C10_F1_s02_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s02_w1.TIF,2,w1,high
SIMCEPImages_A03_C10_F1_s02_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s02_w2.TIF,2,w2,high
SIMCEPImages_A03_C10_F1_s03_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s03_w1.TIF,3,w1,high
SIMCEPImages_A03_C10_F1_s03_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s03_w2.TIF,3,w2,high
SIMCEPImages_A03_C10_F1_s04_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s04_w1.TIF,4,w1,high
SIMCEPImages_A03_C10_F1_s04_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s04_w2.TIF,4,w2,high
SIMCEPImages_A03_C10_F1_s05_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s05_w1.TIF,5,w1,high
SIMCEPImages_A03_C10_F1_s05_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s05_w2.TIF,5,w2,high
SIMCEPImages_A03_C10_F1_s06_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s06_w1.TIF,6,w1,medium
SIMCEPImages_A03_C10_F1_s06_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s06_w2.TIF,6,w2,medium
SIMCEPImages_A03_C10_F1_s07_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s07_w1.TIF,7,w1,medium
SIMCEPImages_A03_C10_F1_s07_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s07_w2.TIF,7,w2,medium
SIMCEPImages_A03_C10_F1_s08_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s08_w1.TIF,8,w1,medium
SIMCEPImages_A03_C10_F1_s08_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s08_w2.TIF,8,w2,medium
SIMCEPImages_A03_C10_F1_s09_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s09_w1.TIF,9,w1,medium
SIMCEPImages_A03_C10_F1_s09_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s09_w2.TIF,9,w2,medium
SIMCEPImages_A03_C10_F1_s10_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s10_w1.TIF,10,w1,medium
SIMCEPImages_A03_C10_F1_s10_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s10_w2.TIF,10,w2,medium
SIMCEPImages_A03_C10_F1_s11_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s11_w1.TIF,11,w1,low
SIMCEPImages_A03_C10_F1_s11_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s11_w2.TIF,11,w2,low
SIMCEPImages_A03_C10_F1_s12_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s12_w1.TIF,12,w1,low
SIMCEPImages_A03_C10_F1_s12_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s12_w2.TIF,12,w2,low
SIMCEPImages_A03_C10_F1_s13_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s13_w1.TIF,13,w1,low
SIMCEPImages_A03_C10_F1_s13_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s13_w2.TIF,13,w2,low
SIMCEPImages_A03_C10_F1_s14_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s14_w1.TIF,14,w1,low
SIMCEPImages_A03_C10_F1_s14_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s14_w2.TIF,14,w2,low
SIMCEPImages_A03_C10_F1_s15_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s15_w1.TIF,15,w1,low
SIMCEPImages_A03_C10_F1_s15_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s15_w2.TIF,15,w2,low
SIMCEPImages_A03_C10_F1_s16_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s16_w1.TIF,16,w1,low
SIMCEPImages_A03_C10_F1_s16_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s16_w2.TIF,16,w2,low
SIMCEPImages_A03_C10_F1_s17_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s17_w1.TIF,17,w1,low
SIMCEPImages_A03_C10_F1_s17_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s17_w2.TIF,17,w2,low
SIMCEPImages_A03_C10_F1_s18_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s18_w1.TIF,18,w1,low
SIMCEPImages_A03_C10_F1_s18_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s18_w2.TIF,18,w2,low
SIMCEPImages_A03_C10_F1_s19_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s19_w1.TIF,19,w1,low
SIMCEPImages_A03_C10_F1_s19_w2,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s19_w2.TIF,19,w2,low
SIMCEPImages_A03_C10_F1_s20_w1,data/mixed_quality/real_low/bbbc005/BBBC005_v1_images/BBBC005_v1_images/SIMCEPImages_A03_C10_F1_s20_w1.TIF,20,w1,low
